subj	sess	spkr	UTT	TOK	TYP	MLU
77	1	P	536	2121	378	3.95708955224
77	1	C	260	506	177	1.94615384615
77	3	P	437	1765	285	4.03890160183
77	3	C	268	783	177	2.92164179104
80	1	P	603	2003	345	3.32172470978
80	1	C	303	519	181	1.71287128713
80	3	P	413	1515	263	3.66828087167
80	3	C	280	589	173	2.10357142857
82	3	P	405	1233	178	3.04444444444
82	3	C	69	100	24	1.44927536232
85	3	P	695	2659	295	3.82589928058
85	3	C	130	150	69	1.15384615385
86	2	P	372	884	149	2.37634408602
86	2	C	1	1	1	1.0
86	3	P	253	532	123	2.10276679842
86	3	C	3	3	2	1.0
91	2	P	448	1628	179	3.63392857143
91	2	C	0	0	0	-
91	3	P	257	795	124	3.09338521401
91	3	C	2	7	5	3.5
95	3	P	488	1987	359	4.07172131148
95	3	C	315	866	189	2.74920634921
105	2	P	689	2123	231	3.08127721335
105	2	C	0	0	0	-
105	3	P	694	2096	247	3.02017291066
105	3	C	10	12	4	1.2
111	1	P	695	2659	295	3.82589928058
111	1	C	130	150	69	1.15384615385
111	2	P	624	2622	285	4.20192307692
111	2	C	110	208	76	1.89090909091
111	3	P	776	3691	386	4.75644329897
111	3	C	88	208	90	2.36363636364
113	1	P	708	2206	298	3.11581920904
113	1	C	0	0	0	-
113	2	P	745	2315	303	3.10738255034
113	2	C	4	16	3	4.0
113	3	P	902	2408	339	2.66962305987
113	3	C	1	1	1	1.0
114	1	P	674	2603	346	3.86201780415
114	1	C	0	0	0	-
114	2	P	654	2015	297	3.08103975535
114	2	C	0	0	0	-
114	3	P	460	1353	258	2.94130434783
114	3	C	1	1	1	1.0
115	1	P	437	1765	285	4.03890160183
115	1	C	268	783	177	2.92164179104
115	2	P	343	1452	340	4.2332361516
115	2	C	296	884	226	2.98648648649
115	3	P	371	1707	356	4.60107816712
115	3	C	382	1511	276	3.9554973822
117	1	P	636	1873	243	2.94496855346
117	1	C	0	0	0	-
117	2	P	691	2085	237	3.01736613603
117	2	C	0	0	0	-
117	3	P	647	1819	230	2.8114374034
117	3	C	0	0	0	-
121	1	P	488	1987	359	4.07172131148
121	1	C	315	866	189	2.74920634921
121	2	P	455	2150	402	4.72527472527
121	2	C	360	1315	263	3.65277777778
121	3	P	434	1792	344	4.12903225806
121	3	C	291	1257	248	4.31958762887
122	1	P	568	1639	266	2.88556338028
122	1	C	27	28	9	1.03703703704
122	3	P	516	1468	290	2.84496124031
122	3	C	212	242	52	1.14150943396
133	1	P	237	917	197	3.86919831224
133	1	C	68	79	14	1.16176470588
133	2	P	314	1086	208	3.45859872611
133	2	C	115	157	15	1.3652173913
133	3	P	586	1293	214	2.20648464164
133	3	C	479	557	111	1.16283924843
137	1	P	383	1315	289	3.43342036554
137	1	C	1	3	1	3.0
137	2	P	565	1633	307	2.89026548673
137	2	C	30	35	12	1.16666666667
137	3	P	665	1812	324	2.72481203008
137	3	C	29	30	17	1.03448275862
138	1	P	425	1181	226	2.77882352941
138	1	C	81	102	23	1.25925925926
138	2	P	601	1732	308	2.88186356073
138	2	C	254	298	95	1.17322834646
138	3	P	595	1897	348	3.18823529412
138	3	C	192	273	120	1.421875
142	1	P	350	869	154	2.48285714286
142	1	C	0	0	0	-
142	2	P	537	1287	237	2.39664804469
142	2	C	11	17	9	1.54545454545
144	1	P	369	1543	235	4.18157181572
144	1	C	0	0	0	-
148	1	P	363	1300	215	3.58126721763
148	1	C	0	0	0	-
148	2	P	671	2656	321	3.95827123696
148	2	C	2	3	2	1.5
159	1	P	447	1515	307	3.38926174497
159	1	C	0	0	0	-
159	2	P	504	1320	200	2.61904761905
159	2	C	0	0	0	-
162	1	P	127	305	98	2.40157480315
162	1	C	0	0	0	-
164	1	P	506	1604	286	3.16996047431
164	1	C	72	93	31	1.29166666667
164	2	P	496	1575	294	3.17540322581
164	2	C	108	144	40	1.33333333333
165	1	P	460	1353	258	2.94130434783
165	1	C	1	1	1	1.0
166	1	P	586	1293	214	2.20648464164
166	1	C	479	557	111	1.16283924843
167	1	P	595	1897	348	3.18823529412
167	1	C	192	273	120	1.421875
